train_number,line_direction_cid,direction_chinese,station_id,station_name,car_number_cn1,car_number_cn2,car1_congestion,car2_congestion,car3_congestion,car4_congestion,update_time,timestamp
"129,198",1,下行,BR16,西湖,129,198,1,1,1,1,2025-07-14 22:06:27,2025-07-14 22:06:27
"137,200",2,上行,BR16,西湖,137,200,2,2,1,1,2025-07-14 22:06:23,2025-07-14 22:06:23
"187,188",2,上行,BR14,大直,187,188,2,1,2,1,2025-07-14 22:06:21,2025-07-14 22:06:21
"113,104",1,下行,BR19,內湖,113,104,1,1,1,1,2025-07-14 22:06:20,2025-07-14 22:06:20
"199,128",1,下行,BR22,東湖,199,128,1,1,1,1,2025-07-14 22:06:04,2025-07-14 22:06:04
"183,118",2,上行,BR10,BR 忠孝復興,183,118,2,1,1,1,2025-07-14 22:05:43,2025-07-14 22:05:43
"127,120",1,下行,BR09,BR 大安,127,120,2,2,1,2,2025-07-14 22:05:31,2025-07-14 22:05:31
"103,194",1,下行,BR07,六張犁,103,194,2,2,2,2,2025-07-14 22:05:24,2025-07-14 22:05:24
"101,114",1,下行,BR12,中山國中,101,114,2,2,2,2,2025-07-14 22:05:24,2025-07-14 22:05:24
"129,198",1,下行,BR17,港漧,129,198,1,1,1,1,2025-07-14 22:04:58,2025-07-14 22:04:58
"191,126",2,上行,BR12,中山國中,191,126,2,2,1,1,2025-07-14 22:04:57,2025-07-14 22:04:57
"157,112",1,下行,BR14,大直,157,112,1,1,1,2,2025-07-14 22:04:49,2025-07-14 22:04:49
"113,104",1,下行,BR20,大湖公園,113,104,1,1,1,1,2025-07-14 22:04:43,2025-07-14 22:04:43
"137,200",2,上行,BR15,劍南路,137,200,2,2,1,1,2025-07-14 22:04:10,2025-07-14 22:04:10
"199,128",1,下行,BR23,南港軟體園區,199,128,1,1,1,1,2025-07-14 22:04:09,2025-07-14 22:04:09
"111,142",1,下行,BR01,動物園,111,142,1,1,1,1,2025-07-14 22:04:04,2025-07-14 22:04:04
"183,118",2,上行,BR09,BR 大安,183,118,1,1,1,1,2025-07-14 22:03:52,2025-07-14 22:03:52
"127,120",1,下行,BR10,BR 忠孝復興,127,120,2,1,1,2,2025-07-14 22:03:50,2025-07-14 22:03:50
"133,166",2,上行,BR19,內湖,133,166,2,1,1,1,2025-07-14 22:03:45,2025-07-14 22:03:45
"191,126",2,上行,BR11,BR 南京復興,191,126,2,2,1,1,2025-07-14 22:03:21,2025-07-14 22:03:21
"135,201",2,上行,BR24,BR 南港展覽館,135,201,1,1,1,1,2025-07-14 22:03:14,2025-07-14 22:03:14
"111,142",2,上行,BR02,木柵,111,142,1,1,1,1,2025-07-14 22:12:25,2025-07-14 22:12:25
"183,118",2,上行,BR13,松山機場,183,118,1,1,1,2,2025-07-14 22:11:53,2025-07-14 22:11:53
